fold,epoch,positive_count,negative_count,pos_weight,train_loss,valid_loss,f1,threshold,precision,recall,learning_rate
0,1,2148,1930,0.8985102420856611,0.15530151732601322,0.03641771871788318,0.9906716417910447,0.85,0.9925233644859813,0.9888268156424581,3e-05
0,2,2148,1930,0.8985102420856611,0.07045538904925953,0.027308550080188603,0.9944237918215614,0.4,0.9925788497217068,0.9962756052141527,2.9872528434469777e-05
0,3,2148,1930,0.8985102420856611,0.04787777158153488,0.03557030061880748,0.994413407821229,0.1,0.994413407821229,0.994413407821229,2.949229481170712e-05
0,4,2148,1930,0.8985102420856611,0.038744235699503846,0.032304425474071384,0.9944341372912802,0.13,0.9907578558225508,0.9981378026070763,2.8865805034418175e-05
0,5,2148,1930,0.8985102420856611,0.030305768818676273,0.03451241673714785,0.9925650557620818,0.12,0.9907235621521335,0.994413407821229,2.8003778516388142e-05
0,6,2148,1930,0.8985102420856611,0.024727880522282385,0.032977286310358296,0.994413407821229,0.86,0.994413407821229,0.994413407821229,2.6920964770339406e-05
0,7,2148,1930,0.8985102420856611,0.02966389568881439,0.04480476316928295,0.9944237918215614,0.75,0.9925788497217068,0.9962756052141527,2.563589103967956e-05
0,8,2148,1930,0.8985102420856611,0.017828761305541705,0.040874702155890515,0.9934762348555451,0.24,0.9944029850746269,0.9925512104283054,2.4170545292229943e-05
0,9,2148,1930,0.8985102420856611,0.01766506302605905,0.06797364706359504,0.9907578558225508,0.5,0.9834862385321101,0.9981378026070763,2.2550000000000006e-05
0,10,2148,1930,0.8985102420856611,0.015276752722910509,0.03337896393928603,0.994413407821229,0.15,0.994413407821229,0.994413407821229,2.0801983142239843e-05
0,11,2148,1930,0.8985102420856611,0.014793205993731792,0.04107657150138859,0.9944237918215614,0.5,0.9925788497217068,0.9962756052141527,1.895640377202756e-05
1,1,2148,1930,0.8985102420856611,0.1798632901861086,0.07456443189168531,0.9821930646672915,0.77,0.9886792452830189,0.9757914338919925,3e-05
1,2,2148,1930,0.8985102420856611,0.11312886870563461,0.17035250732876067,0.9673321234119783,0.85,0.9433628318584071,0.9925512104283054,2.9872528434469777e-05
1,3,2148,1930,0.8985102420856611,0.06770720401922951,0.04776377563990251,0.9888059701492538,0.25,0.9906542056074766,0.9869646182495344,2.949229481170712e-05
1,4,2148,1930,0.8985102420856611,0.03475516684471258,0.061778167349243004,0.9850467289719627,0.72,0.9887429643527205,0.9813780260707635,2.8865805034418175e-05
1,5,2148,1930,0.8985102420856611,0.03097920013227093,0.103883720777801,0.9820245979186376,0.15,0.9980769230769231,0.9664804469273743,2.8003778516388142e-05
1,6,2148,1930,0.8985102420856611,0.02611281605068665,0.0708896218568364,0.9877934272300469,0.61,0.9962121212121212,0.9795158286778398,2.6920964770339406e-05
1,7,2148,1930,0.8985102420856611,0.03881795909768022,0.06726435336672962,0.9879518072289156,0.5,0.9833948339483395,0.9925512104283054,2.563589103967956e-05
1,8,2148,1930,0.8985102420856611,0.0353099812327409,0.06557157950426735,0.9860205032618826,0.16,0.9869402985074627,0.9851024208566108,2.4170545292229943e-05
1,9,2148,1930,0.8985102420856611,0.01568596936396708,0.05353627631856772,0.9906716417910447,0.45,0.9925233644859813,0.9888268156424581,2.2550000000000006e-05
1,10,2148,1930,0.8985102420856611,0.013236658012287635,0.06642592341952111,0.9906716417910447,0.11,0.9925233644859813,0.9888268156424581,2.0801983142239843e-05
1,11,2148,1930,0.8985102420856611,0.010298512713579027,0.06625388996750083,0.9888059701492538,0.18,0.9906542056074766,0.9869646182495344,1.895640377202756e-05
1,12,2148,1930,0.8985102420856611,0.009988188663984874,0.060768420518655275,0.9897483690587139,0.44,0.9906716417910447,0.9888268156424581,1.7044840264078773e-05
1,13,2148,1930,0.8985102420856611,0.007238538384026799,0.054222691121692916,0.9916434540389972,0.13,0.9888888888888889,0.994413407821229,1.51e-05
1,14,2148,1930,0.8985102420856611,0.014394069695205434,0.0610330613490363,0.988909426987061,0.11,0.981651376146789,0.9962756052141527,1.315515973592123e-05
1,15,2148,1930,0.8985102420856611,0.011377058301013609,0.04821526454676025,0.9916589434661723,0.12,0.9870848708487084,0.9962756052141527,1.124359622797244e-05
1,16,2148,1930,0.8985102420856611,0.002893726313453723,0.07902285580035538,0.9878391019644528,0.14,0.9924812030075187,0.9832402234636871,9.398016857760165e-06
1,17,2148,1930,0.8985102420856611,0.00224767388516319,0.07566983705748463,0.9888059701492538,0.17,0.9906542056074766,0.9869646182495344,7.650000000000003e-06
1,18,2148,1930,0.8985102420856611,0.0030805297297260073,0.0778073454880345,0.9887850467289719,0.24,0.9924953095684803,0.9851024208566108,6.029454707770062e-06
1,19,2148,1930,0.8985102420856611,0.004060519688006799,0.0718716975598998,0.9888059701492538,0.3,0.9906542056074766,0.9869646182495344,4.564108960320443e-06
1,20,2148,1930,0.8985102420856611,0.0023233224512453155,0.07269188136953174,0.9888059701492538,0.41,0.9906542056074766,0.9869646182495344,3.2790352296605985e-06
1,21,2148,1930,0.8985102420856611,0.0023658030618227775,0.07206359038151705,0.9897674418604652,0.5,0.9888475836431226,0.9906890130353817,2.196221483611864e-06
1,22,2148,1930,0.8985102420856611,0.002213248730469265,0.07742781261632427,0.9887850467289719,0.39,0.9924953095684803,0.9851024208566108,1.334194965581828e-06
2,1,2148,1930,0.8985102420856611,0.1625033190702063,0.042271052931855416,0.9887429643527205,0.66,0.996219281663516,0.9813780260707635,3e-05
2,2,2148,1930,0.8985102420856611,0.0729597023028432,0.06132228614125565,0.9850746268656716,0.84,0.9869158878504672,0.9832402234636871,2.9872528434469777e-05
2,3,2148,1930,0.8985102420856611,0.05882574415346645,0.08737806149030232,0.9871323529411765,0.74,0.9745916515426497,1.0,2.949229481170712e-05
2,4,2148,1930,0.8985102420856611,0.04221614212466974,0.06034585587593599,0.9896519285042333,0.24,1.0,0.9795158286778398,2.8865805034418175e-05
2,5,2148,1930,0.8985102420856611,0.03955619889790799,0.07037566528100904,0.988950276243094,0.5,0.9781420765027322,1.0,2.8003778516388142e-05
