fold,epoch,train_loss,valid_loss,f1,threshold,precision,recall,learning_rate
0,1,0.0447477574470257,0.018153679345314408,0.9897674418604652,0.75,0.9888475836431226,0.9906890130353817,3e-05
0,2,0.02303018327619718,0.014065050067124413,0.9925650557620818,0.59,0.9907235621521335,0.994413407821229,2.9872528434469777e-05
0,3,0.015837500675738064,0.008709673156194827,0.9953488372093023,0.43,0.9944237918215614,0.9962756052141527,2.949229481170712e-05
0,4,0.011468916507268827,0.014040840276535235,0.9935004642525533,0.55,0.9907407407407407,0.9962756052141527,2.8865805034418175e-05
0,5,0.011805512154243736,0.008794222363069946,0.9944237918215614,0.56,0.9925788497217068,0.9962756052141527,2.8003778516388142e-05
0,6,0.006472437245366604,0.011253945949469126,0.9962825278810409,0.74,0.9944341372912802,0.9981378026070763,2.6920964770339406e-05
0,7,0.0065695797693844865,0.012364811744248751,0.9962825278810409,0.64,0.9944341372912802,0.9981378026070763,2.563589103967956e-05
0,8,0.006729391928078893,0.01699616460622672,0.9925788497217068,0.37,0.988909426987061,0.9962756052141527,2.4170545292229943e-05
0,9,0.006979057097843153,0.015107814047722986,0.9935004642525533,0.5,0.9907407407407407,0.9962756052141527,2.2550000000000006e-05
0,10,0.00524603657729562,0.010835394605665523,0.9953401677539608,0.5,0.996268656716418,0.994413407821229,2.0801983142239843e-05
0,11,0.004530653816315767,0.016485449201518707,0.9935125115848007,0.5,0.988929889298893,0.9981378026070763,1.895640377202756e-05
0,12,0.004614089172362711,0.016799020140851828,0.9944341372912802,0.5,0.9907578558225508,0.9981378026070763,1.7044840264078773e-05
0,13,0.004568815940434717,0.014218701831722523,0.9934883720930232,0.5,0.9925650557620818,0.994413407821229,1.51e-05
1,1,0.04575048898090483,0.01978569034322658,0.983177570093458,0.51,0.9868667917448405,0.9795158286778398,3e-05
1,2,0.0233852207658848,0.016024067740449136,0.9888268156424581,0.58,0.9888268156424581,0.9888268156424581,2.9872528434469777e-05
1,3,0.01029662682038566,0.012487414459624858,0.9925512104283054,0.53,0.9925512104283054,0.9925512104283054,2.949229481170712e-05
1,4,0.01076205884201919,0.018021051718981242,0.9897483690587139,0.35,0.9906716417910447,0.9888268156424581,2.8865805034418175e-05
1,5,0.011413884195926188,0.019320533625945886,0.9879518072289156,0.49,0.9833948339483395,0.9925512104283054,2.8003778516388142e-05
1,6,0.007177331335495476,0.023601776719842035,0.9879963065558633,0.62,0.9798534798534798,0.9962756052141527,2.6920964770339406e-05
1,7,0.00795563725688846,0.02910703716014384,0.9878163074039362,0.3,0.9943396226415094,0.9813780260707635,2.563589103967956e-05
1,8,0.006110584252121593,0.019015743104083573,0.9916123019571296,0.29,0.9925373134328358,0.9906890130353817,2.4170545292229943e-05
1,9,0.007560385178040134,0.029190236666951985,0.9906367041198502,0.28,0.9962335216572504,0.9851024208566108,2.2550000000000006e-05
1,10,0.004004329076889115,0.019663369409539097,0.9934640522875817,0.27,0.9962546816479401,0.9906890130353817,2.0801983142239843e-05
1,11,0.0039016318045256913,0.0211544152057054,0.9906890130353817,0.29,0.9906890130353817,0.9906890130353817,1.895640377202756e-05
1,12,0.004891665029381057,0.021969671360235296,0.9897483690587139,0.25,0.9906716417910447,0.9888268156424581,1.7044840264078773e-05
1,13,0.003508086199586724,0.026489739734496847,0.9887640449438202,0.27,0.9943502824858758,0.9832402234636871,1.51e-05
1,14,0.003098876175779873,0.022224218776339993,0.9915966386554622,0.3,0.9943820224719101,0.9888268156424581,1.315515973592123e-05
1,15,0.003644282805818796,0.017355855390904288,0.9934762348555451,0.4,0.9944029850746269,0.9925512104283054,1.124359622797244e-05
1,16,0.004725362448722431,0.0256272927419666,0.9906367041198502,0.29,0.9962335216572504,0.9851024208566108,9.398016857760165e-06
1,17,0.0018985358129888993,0.01659671113296759,0.9944029850746269,0.5,0.9962616822429906,0.9925512104283054,7.650000000000003e-06
1,18,0.003530069421739292,0.016737348014744472,0.9944029850746269,0.49,0.9962616822429906,0.9925512104283054,6.029454707770062e-06
1,19,0.0022846535140536124,0.018089747103844204,0.9944029850746269,0.31,0.9962616822429906,0.9925512104283054,4.564108960320443e-06
1,20,0.002557409032466746,0.021306564160348738,0.9925233644859813,0.36,0.9962476547842402,0.9888268156424581,3.2790352296605985e-06
1,21,0.0028573260918924657,0.01717290238422506,0.9934640522875817,0.5,0.9962546816479401,0.9906890130353817,2.196221483611864e-06
1,22,0.0016483864230855151,0.01786445808806913,0.9934640522875817,0.47,0.9962546816479401,0.9906890130353817,1.334194965581828e-06
1,23,0.004272141000333591,0.017342372885539983,0.9934640522875817,0.5,0.9962546816479401,0.9906890130353817,7.07705188292884e-07
1,24,0.001852662493248688,0.017384259980719755,0.9934640522875817,0.5,0.9962546816479401,0.9906890130353817,3.2747156553022533e-07
2,1,0.04745736361658014,0.017031273375466175,0.9879518072289156,0.67,0.9833948339483395,0.9925512104283054,3e-05
2,2,0.02523121979318709,0.017386661784486005,0.9878618113912232,0.61,0.9906367041198502,0.9851024208566108,2.9872528434469777e-05
2,3,0.01163157588419061,0.019507357093742957,0.9888682745825603,0.74,0.9852125693160814,0.9925512104283054,2.949229481170712e-05
2,4,0.01301135399729167,0.01582207817301227,0.9907749077490775,0.5,0.9817184643510055,1.0,2.8865805034418175e-05
2,5,0.007245160936404891,0.015521345732222292,0.9916279069767442,0.37,0.9907063197026023,0.9925512104283054,2.8003778516388142e-05
2,6,0.007736238617634528,0.01710687959201488,0.9925788497217068,0.29,0.988909426987061,0.9962756052141527,2.6920964770339406e-05
2,7,0.009288525806950948,0.020247691902605926,0.9916897506925207,0.71,0.9835164835164835,1.0,2.563589103967956e-05
2,8,0.0067564801024314145,0.015624428429074732,0.995366079703429,0.71,0.9907749077490775,1.0,2.4170545292229943e-05
2,9,0.005637953395655176,0.017459904628933643,0.9926062846580407,0.5,0.9853211009174312,1.0,2.2550000000000006e-05
2,10,0.0071728673910648145,0.01218017229317304,0.9916743755781684,0.5,0.9852941176470589,0.9981378026070763,2.0801983142239843e-05
2,11,0.0038208351559597177,0.012884447647842998,0.989786443825441,0.27,0.987037037037037,0.9925512104283054,1.895640377202756e-05
2,12,0.006983309500732437,0.021282775361346557,0.9907235621521335,0.35,0.9870609981515711,0.994413407821229,1.7044840264078773e-05
2,13,0.0040358435924385564,0.01899438085920159,0.989786443825441,0.56,0.987037037037037,0.9925512104283054,1.51e-05
2,14,0.003145293440658813,0.01533785426770063,0.9916434540389972,0.39,0.9888888888888889,0.994413407821229,1.315515973592123e-05
2,15,0.0022572617253444837,0.01875052632188753,0.9916743755781684,0.28,0.9852941176470589,0.9981378026070763,1.124359622797244e-05
3,1,0.04630941844797143,0.05590151212273222,0.9690346083788707,0.75,0.948306595365419,0.9906890130353817,3e-05
3,2,0.02350289738351412,0.008953790277264596,0.9934640522875817,0.69,0.9962546816479401,0.9906890130353817,2.9872528434469777e-05
3,3,0.015338084328947961,0.017171321299783448,0.989786443825441,0.45,0.987037037037037,0.9925512104283054,2.949229481170712e-05
3,4,0.01372382729687573,0.009302103180224414,0.9925512104283054,0.48,0.9925512104283054,0.9925512104283054,2.8865805034418175e-05
3,5,0.011320888760496688,0.01706839343443809,0.9897483690587139,0.5,0.9906716417910447,0.9888268156424581,2.8003778516388142e-05
3,6,0.008893693916930685,0.011199868385500885,0.9925512104283054,0.5,0.9925512104283054,0.9925512104283054,2.6920964770339406e-05
3,7,0.013442833630035221,0.03462745837471516,0.9728209934395501,0.52,0.9792452830188679,0.9664804469273743,2.563589103967956e-05
3,8,0.005089007479214703,0.0198737945654626,0.989843028624192,0.5,0.9816849816849816,0.9981378026070763,2.4170545292229943e-05
3,9,0.008184924236078434,0.013633220859824281,0.9925925925925926,0.38,0.9871086556169429,0.9981378026070763,2.2550000000000006e-05
4,1,0.047336475474321106,0.022040660933146328,0.9842154131847726,0.66,0.9814814814814815,0.9869646182495344,3e-05
4,2,0.019988805813873318,0.039299042166098294,0.9789184234647113,0.74,0.9638989169675091,0.994413407821229,2.9872528434469777e-05
4,3,0.01778607126841375,0.02406386439062443,0.9870848708487084,0.58,0.9780621572212066,0.9962756052141527,2.949229481170712e-05
4,4,0.01108259574646465,0.020749331650623943,0.9888888888888889,0.5,0.9834254143646409,0.994413407821229,2.8865805034418175e-05
4,5,0.0069689672277269046,0.021523516011215067,0.9878844361602982,0.69,0.9888059701492538,0.9869646182495344,2.8003778516388142e-05
4,6,0.008283079708678651,0.02322426450475813,0.9880184331797235,0.39,0.9781021897810219,0.9981378026070763,2.6920964770339406e-05
4,7,0.007913999388701748,0.023210337634931362,0.9852125693160814,0.28,0.9779816513761468,0.9925512104283054,2.563589103967956e-05
4,8,0.0066796795084440525,0.021744198646347045,0.9870609981515711,0.32,0.9798165137614679,0.994413407821229,2.4170545292229943e-05
4,9,0.005861233448375452,0.027149319574369394,0.9888888888888889,0.75,0.9834254143646409,0.994413407821229,2.2550000000000006e-05
4,10,0.007976779174246853,0.021310135642303312,0.9888682745825603,0.44,0.9852125693160814,0.9925512104283054,2.0801983142239843e-05
4,11,0.0032481931599295877,0.03008056538256289,0.9880184331797235,0.72,0.9781021897810219,0.9981378026070763,1.895640377202756e-05
