fold,epoch,positive_count,negative_count,raw_pos_weight,pos_weight_dampening,pos_weight,train_loss,valid_loss,f1,threshold,precision,recall,learning_rate
0,1,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.11796069915599157,0.01625967824685515,0.994413407821229,0.37,0.994413407821229,0.994413407821229,3e-05
0,2,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.04746079157289023,0.05201061553579719,0.9916743755781684,0.81,0.9852941176470589,0.9981378026070763,2.9872528434469777e-05
0,3,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.03886503547103045,0.032738146003205605,0.9925650557620818,0.83,0.9907235621521335,0.994413407821229,2.949229481170712e-05
0,4,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.02474344054409126,0.015639074293950197,0.9962825278810409,0.5,0.9944341372912802,0.9981378026070763,2.8865805034418175e-05
0,5,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.09657581118416748,0.026227134187102624,0.9953488372093023,0.5,0.9944237918215614,0.9962756052141527,2.8003778516388142e-05
0,6,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.017922960006266694,0.03209897120308169,0.9944341372912802,0.5,0.9907578558225508,0.9981378026070763,2.6920964770339406e-05
0,7,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0163510417494017,0.03383965483943244,0.9953574744661096,0.62,0.9925925925925926,0.9981378026070763,2.563589103967956e-05
0,8,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.017103435453170543,0.023822447054222793,0.9953488372093023,0.53,0.9944237918215614,0.9962756052141527,2.4170545292229943e-05
0,9,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.010603492361623947,0.023366359734434666,0.9944237918215614,0.1,0.9925788497217068,0.9962756052141527,2.2550000000000006e-05
0,10,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.016983557801360145,0.026448332535516123,0.9944237918215614,0.13,0.9925788497217068,0.9962756052141527,2.0801983142239843e-05
0,11,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.007030508619103126,0.0427372579680249,0.9935125115848007,0.5,0.988929889298893,0.9981378026070763,1.895640377202756e-05
1,1,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.11224374448998853,0.06755075020322977,0.9797421731123389,0.4,0.9690346083788707,0.9906890130353817,3e-05
1,2,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.04530905999883344,0.08240425786272823,0.978021978021978,0.38,0.9621621621621622,0.994413407821229,2.9872528434469777e-05
1,3,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.032018521870295885,0.03920908351006516,0.9878163074039362,0.12,0.9943396226415094,0.9813780260707635,2.949229481170712e-05
1,4,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.018792531361044116,0.04752984786715459,0.9849906191369606,0.11,0.9924385633270322,0.9776536312849162,2.8865805034418175e-05
1,5,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.01815694890653721,0.04246424904042357,0.989805375347544,0.1,0.985239852398524,0.994413407821229,2.8003778516388142e-05
1,6,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.02909447429523962,0.09583247606009108,0.9723018147086915,0.12,0.9980392156862745,0.9478584729981379,2.6920964770339406e-05
1,7,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.01912674740737842,0.03887237099429602,0.9859154929577465,0.27,0.9943181818181818,0.9776536312849162,2.563589103967956e-05
1,8,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.012136359853987866,0.07069492051546238,0.9781576448243114,0.38,0.998062015503876,0.9590316573556797,2.4170545292229943e-05
1,9,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.009225008953646016,0.052464742535081384,0.9888475836431226,0.23,0.987012987012987,0.9906890130353817,2.2550000000000006e-05
1,10,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.012358979103790144,0.05108749193787648,0.9868667917448405,0.12,0.994328922495274,0.9795158286778398,2.0801983142239843e-05
