fold,epoch,positive_count,negative_count,class_ratio,loss_pos_weight,label_smoothing,ema_enabled,ema_decay,train_loss,valid_loss,f1,threshold,precision,recall,head_learning_rate,backbone_learning_rate
0,1,681,496,0.7283406754772394,,0.05,True,0.999,0.6997051500322055,0.768327001191802,0.553072625698324,0.4,0.5294117647058824,0.5789473684210527,5e-06,5.000000000000001e-07
0,2,681,496,0.7283406754772394,,0.05,True,0.999,0.3427369637872166,0.6814651355905048,0.6829268292682927,0.4,0.6363636363636364,0.7368421052631579,0.0005,5e-05
0,3,681,496,0.7283406754772394,,0.05,True,0.999,0.20765956681769282,0.5973597827604261,0.7976539589442815,0.4,0.8,0.7953216374269005,0.0004937344852542377,4.937570501332741e-05
0,4,681,496,0.7283406754772394,,0.05,True,0.999,0.14049905958880585,0.5391618571038973,0.8463949843260188,0.4,0.9121621621621622,0.7894736842105263,0.00047525212008881455,4.753412481077024e-05
0,5,681,496,0.7283406754772394,,0.05,True,0.999,0.12392553836487062,0.4902063321259062,0.8757763975155279,0.4,0.9337748344370861,0.8245614035087719,0.0004454796874687607,4.4567603913453956e-05
0,6,681,496,0.7283406754772394,,0.05,True,0.999,0.11859587503370837,0.44764772108045675,0.9030303030303031,0.4,0.9371069182389937,0.8713450292397661,0.00040591010148449756,4.0624896066282477e-05
0,7,681,496,0.7283406754772394,,0.05,True,0.999,0.1222199430988315,0.4079832473043668,0.9226190476190477,0.4,0.9393939393939394,0.9064327485380117,0.0003585275464054778,3.5903705104027206e-05
0,8,681,496,0.7283406754772394,,0.05,True,0.999,0.11694924261170925,0.37074827299279683,0.9473684210526315,0.4,0.9473684210526315,0.9473684210526315,0.000305707981395683,3.064077125551224e-05
0,9,681,496,0.7283406754772394,,0.05,True,0.999,0.11687532462299934,0.33966702687538275,0.9529411764705882,0.44,0.9585798816568047,0.9473684210526315,0.0002501,2.5100000000000007e-05
0,10,681,496,0.7283406754772394,,0.05,True,0.999,0.1168576812936577,0.31335421416719084,0.9529411764705882,0.45,0.9585798816568047,0.9473684210526315,0.00019449201860431706,1.9559228744487778e-05
