fold,epoch,positive_count,negative_count,pos_weight,train_loss,valid_loss,f1,threshold,precision,recall,learning_rate
0,1,2148,1930,0.8985102420856611,0.16404362393567332,0.03178508173783912,0.9934883720930232,0.66,0.9925650557620818,0.994413407821229,3e-05
0,2,2148,1930,0.8985102420856611,0.07910600256828476,0.0364314744915521,0.9925925925925926,0.5,0.9871086556169429,0.9981378026070763,2.9872528434469777e-05
0,3,2148,1930,0.8985102420856611,0.06138680599437657,0.03087286904474775,0.9934640522875817,0.41,0.9962546816479401,0.9906890130353817,2.949229481170712e-05
0,4,2148,1930,0.8985102420856611,0.05131813813395197,0.03371658010588612,0.9962825278810409,0.76,0.9944341372912802,0.9981378026070763,2.8865805034418175e-05
0,5,2148,1930,0.8985102420856611,0.019520895389444185,0.042603419246163454,0.9944341372912802,0.5,0.9907578558225508,0.9981378026070763,2.8003778516388142e-05
0,6,2148,1930,0.8985102420856611,0.019050531263144706,0.033292426057639254,0.9953574744661096,0.5,0.9925925925925926,0.9981378026070763,2.6920964770339406e-05
0,7,2148,1930,0.8985102420856611,0.019627289225710116,0.02893682614914153,0.9962825278810409,0.72,0.9944341372912802,0.9981378026070763,2.563589103967956e-05
0,8,2148,1930,0.8985102420856611,0.024138414059582947,0.04026612731902467,0.9934762348555451,0.18,0.9944029850746269,0.9925512104283054,2.4170545292229943e-05
0,9,2148,1930,0.8985102420856611,0.01997301475751575,0.039350202358735833,0.994413407821229,0.21,0.994413407821229,0.994413407821229,2.2550000000000006e-05
0,10,2148,1930,0.8985102420856611,0.025218627398660945,0.02661117783045127,0.9953401677539608,0.5,0.996268656716418,0.994413407821229,2.0801983142239843e-05
0,11,2148,1930,0.8985102420856611,0.01377519594645189,0.03924615520182295,0.9944237918215614,0.5,0.9925788497217068,0.9962756052141527,1.895640377202756e-05
1,1,2148,1930,0.8985102420856611,0.13466975487438188,0.08487670738843507,0.9776119402985075,0.28,0.9794392523364486,0.9757914338919925,3e-05
1,2,2148,1930,0.8985102420856611,0.06386651012098252,0.06737295844205245,0.9851024208566108,0.21,0.9851024208566108,0.9851024208566108,2.9872528434469777e-05
1,3,2148,1930,0.8985102420856611,0.055109616970615456,0.06116471108866344,0.9859943977591037,0.35,0.9887640449438202,0.9832402234636871,2.949229481170712e-05
1,4,2148,1930,0.8985102420856611,0.050156403887473715,0.06189218710471109,0.9878391019644528,0.13,0.9924812030075187,0.9832402234636871,2.8865805034418175e-05
1,5,2148,1930,0.8985102420856611,0.038726698400539175,0.05378860189147435,0.9897674418604652,0.1,0.9888475836431226,0.9906890130353817,2.8003778516388142e-05
1,6,2148,1930,0.8985102420856611,0.021432051152086587,0.06045472373142747,0.9915966386554622,0.11,0.9943820224719101,0.9888268156424581,2.6920964770339406e-05
1,7,2148,1930,0.8985102420856611,0.011117862605549637,0.05852628490615376,0.9916123019571296,0.12,0.9925373134328358,0.9906890130353817,2.563589103967956e-05
1,8,2148,1930,0.8985102420856611,0.025541874591171836,0.05119826672207815,0.9897674418604652,0.5,0.9888475836431226,0.9906890130353817,2.4170545292229943e-05
