fold,epoch,positive_count,negative_count,class_ratio,loss_pos_weight,real_count,pseudo_count,pseudo_weight,weighted_positive_count,weighted_negative_count,label_smoothing,ema_enabled,ema_decay,train_loss,valid_loss,f1,threshold,precision,recall,head_learning_rate,backbone_learning_rate
0,1,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.6350203529924132,0.7674231175648965,0.5571030640668524,0.4,0.5319148936170213,0.5847953216374269,5e-06,5.000000000000001e-07
0,2,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.3119454155387364,0.6557377421249777,0.7305699481865285,0.4,0.6558139534883721,0.8245614035087719,0.0005,5e-05
0,3,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.19466894899816256,0.5454248929427842,0.8579710144927536,0.44,0.8505747126436781,0.8654970760233918,0.00047525212008881455,4.7534124810770235e-05
0,4,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.14028303471905398,0.4630870699882507,0.9054441260744985,0.44,0.8876404494382022,0.9239766081871345,0.00040591010148449756,4.062489606628246e-05
0,5,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.1271916134873939,0.40039330478441915,0.9273743016759777,0.41,0.8877005347593583,0.9707602339181286,0.000305707981395683,3.0640771255512226e-05
0,6,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.11085666591107281,0.3537185856851481,0.9348441926345609,0.42,0.9065934065934066,0.9649122807017544,0.00019449201860431708,1.955922874448777e-05
0,7,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.10758553970303525,0.3185383441084522,0.943952802359882,0.5,0.9523809523809523,0.935672514619883,9.428989851550252e-05,9.575103933717534e-06
0,8,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.10737654223309913,0.29167289491427145,0.9498525073746312,0.51,0.9583333333333334,0.9415204678362573,2.4947879911185486e-05,2.665875189229765e-06
1,1,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.6529127152013048,0.8081778055530483,0.4426229508196721,0.4,0.7397260273972602,0.3157894736842105,5e-06,5.000000000000001e-07
1,2,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.35651805694741456,0.6982661962509156,0.6758620689655173,0.4,0.8235294117647058,0.5730994152046783,0.0005,5e-05
